cell,n,pct_high_toxicity,char_count,word_count,sentence_count,avg_sentence_length,punctuation_density,flesch_kincaid_grade,flesch_reading_ease,is_positive,is_intergroup,is_prime
unanimous_keep,1490,0.04563758389261745,203.0,34.0,2.0,13.666666666666666,0.02757263100733098,8.773985507246378,57.82963995943207,0.29194630872483224,0.6805369127516778,0.748993288590604
majority_keep,1480,0.1918918918918919,183.5,32.0,2.0,13.0,0.029208929756375013,7.890714285714285,62.751840062111825,0.16148648648648647,0.7641891891891892,0.8358108108108108
majority_remove,594,0.5252525252525253,146.0,26.0,2.0,12.0,0.030303030303030304,7.048418803418805,66.8329220779221,0.04040404040404041,0.8417508417508418,0.9579124579124579
unanimous_remove,154,0.7077922077922078,131.5,24.0,2.0,10.375,0.031746031746031744,6.683289473684212,66.36551470588238,0.032467532467532464,0.8506493506493507,0.948051948051948
