type,ablation,model_size,model_name,split,accuracy,precision,recall,f1,roc_auc,pr_auc
one-shot,original,small,gpt-5.4-nano,train,0.690415244596132,0.5190005205622071,0.4431111111111111,0.47806281467274037,0.6782201310469818,0.4905430399689073
one-shot,original,small,gpt-5.4-nano,test,0.6861853325753269,0.5102803738317757,0.4849023090586146,0.4972677595628415,0.6954420299755846,0.5146850137146556
one-shot,original plus mirror,small,gpt-5.4-nano,train,0.6815984072810012,0.5040058266569556,0.3075555555555556,0.38200386420093846,0.6265707049584088,0.44760569065280936
one-shot,original plus mirror,small,gpt-5.4-nano,test,0.6759522455940875,0.4903047091412742,0.31438721136767317,0.38311688311688313,0.6150370982018214,0.44826277348958227
