term,count,bucket
smoke,5,fn
mirrors,5,fn
senate,5,fn
corporations,5,fn
china,5,fn
fascism,5,fn
lead,5,fn
society,5,fn
agenda,4,fn
expresses,4,fn
crime,4,fn
possible,4,fn
sarcastic,4,fn
fuck,4,fn
asking,4,fn
marks,4,fn
warming,4,fn
personal,4,fn
haven,4,fn
explicit,4,fn
while,4,fn
perceived,4,fn
progressive,4,fn
worked,4,fn
disappointment,4,fn
style,4,fn
behavior,4,fn
ownership,4,fn
label,4,fn
cheap,4,fn
discourse,4,fn
powerful,4,fn
any,4,fn
stance,4,fn
same,4,fn
conservative,4,fn
free,4,fn
26,4,fn
families,4,fn
themselves,4,fn
accusation,4,fn
democratic,4,fn
congressional,4,fn
periods,4,fn
registries,4,fn
opposing,4,fn
fellow,4,fn
blue,4,fn
crimes,4,fn
require,4,fn
fear,4,fn
enforce,4,fn
allowed,4,fn
epa,4,fn
factual,4,fn
quote_or_attribution_embedding,4,fn
pos,4,fn
rw,4,fn
left_right_directional_cue,4,fn
michigan,4,fn
conversational,4,fn
set,4,fn
fucked,4,fn
living,4,fn
make,4,fn
irrelevant,4,fn
address,4,fn
casual,4,fn
high,4,fn
ended,4,fn
voting,4,fn
such,4,fn
disband,4,fn
demands,4,fn
opening,4,fn
increase,4,fn
immigration,4,fn
claimed,4,fn
shouldn,4,fn
executed,4,fn
statute,4,fn
investment,4,fn
environmentalists,4,fn
wealth,4,fn
disability,4,fn
disentangle,4,fn
electricity,4,fn
payback,4,fn
provide,4,fn
criticizing,4,fn
threatened,4,fn
every,4,fn
officials,4,fn
takes,4,fn
sit,4,fn
defending,4,fn
slogan,4,fn
lib,4,fn
dem,4,fn
arguing,4,fn
abolition,4,fn
problem,4,fn
bipartisan,4,fn
everyday,4,fn
portrayed,4,fn
killed,4,fn
buying,4,fn
office,4,fn
west,4,fn
sources,4,fn
using,4,fn
america,4,fn
surveillance,4,fn
pervasive,4,fn
liberals,4,fn
thug,4,fn
taxed,4,fn
cater,4,fn
levels,4,fn
dammit,4,fn
part,3,fn
historical,3,fn
harms,3,fn
years,3,fn
ago,3,fn
accuses,3,fn
deny,3,fn
industry,3,fn
pushing,3,fn
evaluative,3,fn
paid,3,fn
especially,3,fn
protecting,3,fn
versus,3,fn
bans,3,fn
opposes,3,fn
civilian,3,fn
obsession,3,fn
banning,3,fn
abuse,3,fn
cause,3,fn
thank,3,fn
punctuation,3,fn
covid,3,fn
fox,3,fn
kept,3,fn
shitless,3,fn
ampersand,3,fn
conservation,3,fn
criticizes,3,fn
interest,3,fn
organizations,3,fn
toward,3,fn
student,3,fn
new,3,fn
deal,3,fn
actions,3,fn
hard,3,fn
praising,3,fn
comparison,3,fn
combine,3,fn
spaces,3,fn
grabs,3,fn
inconsistency,3,fn
big,3,fn
through,3,fn
shorthand,3,fn
absolutely,3,fn
present,3,fn
leadership,3,fn
advocacy,3,fn
far,3,fn
anyway,3,fn
31,3,fn
210,3,fn
legal,3,fn
availability,3,fn
related,3,fn
very,3,fn
sales,3,fn
qualified,3,fn
labour,3,fn
bathrooms,3,fn
training,3,fn
ideological,3,fn
woke,3,fn
think,3,fn
first,3,fn
interpretation,3,fn
absolutists,3,fn
opponents,3,fn
suburban,3,fn
attack,3,fn
addresses,3,fn
gop119thcongress,3,fn
acquire,3,fn
without,3,fn
also,3,fn
power,3,fn
punished,3,fn
healthy,3,fn
mind,3,fn
millions,3,fn
linked,3,fn
implied,3,fn
klimaschutz,3,fn
institutional,3,fn
gutted,3,fn
withdrawn,3,fn
around,3,fn
economic,3,fn
figures,3,fn
labels,3,fn
bernie,3,fn
wouldn,3,fn
crazies,3,fn
tons,3,fn
interests,3,fn
opposition,3,fn
hates,3,fn
sign,3,fn
ma,3,fn
treated,3,fn
positive,3,fn
opposed,3,fn
candidates,3,fn
described,3,fn
preventable,3,fn
two,3,fn
know,3,fn
grifting,3,fn
cost,3,fn
healthcare,3,fn
re,3,fn
liberal,3,fn
references,3,fn
let,3,fn
making,3,fn
me,3,fn
hilarious,3,fn
hypothetical,3,fn
doesn,3,fn
outgroup,3,fn
delay,3,fn
based,3,fn
suicidal,3,fn
pejorative,3,fn
dismisses,3,fn
universal,3,fn
measures,3,fn
imperative,3,fn
separated,3,fn
80,3,fn
holstered,3,fn
civilians,3,fn
logic,3,fn
otherwise,3,fn
condition,3,fn
profanity,3,fn
oh,3,fn
plans,3,fn
pharmacare,3,fn
invest,3,fn
domestic,3,fn
sequence,3,fn
gang,3,fn
punisher,3,fn
shoot,3,fn
well,3,fn
example,3,fn
sure,3,fn
queer,3,fn
magasses,3,fn
block,3,fn
precious,3,fn
said,3,fn
pass,3,fn
lol,3,fn
license,3,fn
taken,3,fn
test,3,fn
reckless,3,fn
shotguns,3,fn
dogs,3,fn
thrown,3,fn
profiteers,3,fn
nationwide,3,fn
ve,3,fn
lawmakers,3,fn
water,3,fn
plants,3,fn
scoring,3,fn
protects,3,fn
take,3,fn
bill,3,fn
overall,3,fn
reduction,3,fn
interlocutor,3,fn
momentum,3,fn
lost,3,fn
admit,2,fn
historical_analogy_reference,2,fn
decades,2,fn
50,2,fn
yourself,2,fn
rather,2,fn
industrial,2,fn
stooges,2,fn
consequence,2,fn
introduced,2,fn
shooting,2,fn
implies,2,fn
counterfactual,2,fn
needs,2,fn
purpose,2,fn
name,2,fn
sexual,2,fn
scope,2,fn
four,2,fn
teens,2,fn
leading,2,fn
death,2,fn
directed,2,fn
katrina,2,fn
coverage,2,fn
saying,2,fn
since,2,fn
cnn,2,fn
scared,2,fn
blunt,2,fn
exhibitors,2,fn
prioritized,2,fn
stated,2,fn
institutions,2,fn
worsen,2,fn
strongly,2,fn
drag,2,fn
infrastructure,2,fn
gay,2,fn
scotus,2,fn
loan,2,fn
reference,2,fn
efforts,2,fn
presidents,2,fn
sentence,2,fn
enumerates,2,fn
combined,2,fn
participation,2,fn
trophies,2,fn
soft,2,fn
law,2,fn
closing,2,fn
loopholes,2,fn
compressed,2,fn
hunger,2,fn
leaving,2,fn
gaps,2,fn
brand,2,fn
leader,2,fn
strong,2,fn
decline,2,fn
into,2,fn
aclu,2,fn
implicit,2,fn
past,2,fn
speaker,2,fn
ars,2,fn
overrated,2,fn
abbreviated,2,fn
terminology,2,fn
semiautomatic,2,fn
referenced,2,fn
compliant,2,fn
virtually,2,fn
check,2,fn
declassified,2,fn
knowledge,2,fn
mail,2,fn
online,2,fn
notation,2,fn
sex,2,fn
proposal,2,fn
identity,2,fn
caricature,2,fn
positions,2,fn
say,2,fn
derogatory,2,fn
moral,2,fn
absolutism,2,fn
speech,2,fn
grant,2,fn
view,2,fn
item,2,fn
future,2,fn
never,2,fn
ordinary,2,fn
failure,2,fn
denunciation,2,fn
protection,2,fn
once,2,fn
reader,2,fn
stood,2,fn
emphasized,2,fn
thorough,2,fn
supports,2,fn
frames,2,fn
individual,2,fn
prescription,2,fn
exhortation,2,fn
ingroup,2,fn
christians,2,fn
cities,2,fn
criterion,2,fn
harm,2,fn
commit,2,fn
available,2,fn
resources,2,fn
aphorism,2,fn
killer,2,fn
already,2,fn
possession,2,fn
shocked,2,fn
these,2,fn
existing,2,fn
entities,2,fn
immer,2,fn
embedded,2,fn
several,2,fn
presented,2,fn
embrace,2,fn
figure,2,fn
oriented,2,fn
frame,2,fn
ties,2,fn
boebert,2,fn
capitalized,2,fn
whose,2,fn
pockets,2,fn
lined,2,fn
makes,2,fn
follow,2,fn
contrasted,2,fn
target,2,fn
questions,2,fn
idiom,2,fn
good,2,fn
bloomberg,2,fn
fights,2,fn
assertion,2,fn
dollar,2,fn
corrupt,2,fn
donor,2,fn
shit,2,fn
care,2,fn
broader,2,fn
medicare,2,fn
medicaid,2,fn
wars,2,fn
impossible,2,fn
lose,2,fn
catastrophic,2,fn
enumerated,2,fn
freedom,2,fn
john,2,fn
addressee,2,fn
prices,2,fn
economy,2,fn
solve,2,fn
solving,2,fn
unaffordable,2,fn
speculative,2,fn
scenario,2,fn
consequences,2,fn
unintended,2,fn
priorities,2,fn
unaffordability,2,fn
exist,2,fn
dismissal,2,fn
cue,2,fn
partner,2,fn
qualifying,2,fn
language,2,fn
something,2,fn
purchase,2,fn
tendancies,2,fn
transition,2,fn
made,2,fn
pleasure,2,fn
subsidy,2,fn
dense,2,fn
terms,2,fn
terrorist,2,fn
lobbyists,2,fn
comma,2,fn
hundreds,2,fn
thousands,2,fn
metric,2,fn
tonnes,2,fn
accelerating,2,fn
harris,2,fn
bear,2,fn
arms,2,fn
trigger,2,fn
