uri,label_timestamp,toxicity_prob,toxicity_tier
at://did:plc:6h32tbiuz6ptigvkkrx2jkrz/app.bsky.feed.post/3mu5rwzjeic2q,2026_08_28-16:47:43,0.5716857,medium
at://did:plc:5t37h44eimeaaqdcwankeeie/app.bsky.feed.post/3mu5rtny7im2b,2026_08_28-16:47:43,0.025556687,low
at://did:plc:epp2najemrxyduwxz2ihvj3i/app.bsky.feed.post/3mu5rmrm2e224,2026_08_28-16:47:43,0.09568449,low
at://did:plc:r5wwieq5nfgtj3qcobot3pqh/app.bsky.feed.post/3mu5recqf4k2v,2026_08_28-16:47:43,0.17891699,medium
at://did:plc:d7mbznttytrhbs3vy6d6nppc/app.bsky.feed.post/3mu5rdnfrrb2s,2026_08_28-16:47:43,0.022964042,low
at://did:plc:gdbhptgdeaxkr5x7ynmdlzsb/app.bsky.feed.post/3mu5r7pqwet2c,2026_08_28-16:47:43,0.051068526,low
at://did:plc:7knftcimdqusmixgonfjnl3s/app.bsky.feed.post/3mu5r7nlqj22e,2026_08_28-16:47:43,0.112540044,medium
at://did:plc:mprlbpkamgszg4klv7h5fvl2/app.bsky.feed.post/3mu5r7d5ryc2f,2026_08_28-16:47:43,0.37795907,medium
at://did:plc:rvmarerfcqaoaciketvjacwj/app.bsky.feed.post/3mu5r3dds422s,2026_08_28-16:47:43,0.8299589,high
at://did:plc:nud65ngquynjinrknhayzwtg/app.bsky.feed.post/3mu5sphrisk2f,2026_08_28-16:47:43,0.17458448,medium
at://did:plc:yp2drmlds5dubmv6udjzwuuz/app.bsky.feed.post/3mu5sohhy3m2u,2026_08_28-16:47:43,0.015896067,low
at://did:plc:z2f7uooesggy7kyc3rujoyp6/app.bsky.feed.post/3mu5smnath22m,2026_08_28-16:47:43,0.040925518,low
at://did:plc:jldwyrazfdid3c7qyxq2eyyf/app.bsky.feed.post/3mu5sm332ui2b,2026_08_28-16:47:43,0.011623607,low
at://did:plc:ja6qwdwar2df3253srtdsmsa/app.bsky.feed.post/3mu5skublp22n,2026_08_28-16:47:43,0.04735767,low
at://did:plc:l4xudk3un3f5zukzmnfpkdrw/app.bsky.feed.post/3mu5sgeyf522g,2026_08_28-16:47:43,0.25462922,medium
at://did:plc:nh3orjwqeaacc3nnkacaw755/app.bsky.feed.post/3mu5sclxpe22s,2026_08_28-16:47:43,0.012880214,low
at://did:plc:owlioq32vg5bqxv2j6gz32ak/app.bsky.feed.post/3mu5sbgjz6k25,2026_08_28-16:47:43,0.112333365,medium
at://did:plc:skl2s4plzkuiz4qoozt3xdyo/app.bsky.feed.post/3mu5saockq226,2026_08_28-16:47:43,0.4977744,medium
at://did:plc:untgwijkmjjjlyzmekldwuyc/app.bsky.feed.post/3mu5salbkac2f,2026_08_28-16:47:43,0.45090583,medium
at://did:plc:grgswyytu7slprcbhfireuz2/app.bsky.feed.post/3mu5s66nx2s2u,2026_08_28-16:47:43,0.3286776,medium
