rule_group,n_raters,mean_empirical_remove_rate,mean_rater_effect
high_cluster_0,17,0.21764705882352942,-0.16172355929563761
high_cluster_1,102,0.2803921568627451,-0.046674264659818464
high_cluster_2,11,0.16818181818181818,-0.4916580875261636
low_cluster_0,80,0.160625,-0.3978301579626745
low_cluster_1,5,0.19,-0.2452665711599777
