model,bedrock_model_id,accuracy,precision,recall,f1
Ministral 3 14B Instruct,mistral.ministral-3-14b-instruct,0.6896826299624617,0.512244309997119,0.6320654105936723,0.5658816040738384
Ministral 3 8B Instruct,mistral.ministral-3-8b-instruct,0.7073142987145945,0.7247191011235955,0.1375755421258443,0.23125186734389006
Qwen3 32B,qwen.qwen3-32b-v1:0,0.7092480946422478,0.5452943249911879,0.5499466761464629,0.5476106194690266
Qwen3 Next 80B A3B,qwen.qwen3-next-80b-a3b,0.6414514844727562,0.46210596914822266,0.7348027017419125,0.5673895141367005
