topic,n_posts,keep_rate,ci_low,ci_high,p_value,q_value,significant_bh
-1,10513,0.6918815526610638,0.6868909417515641,0.6970479486735749,0.000530673877050914,0.0019205340312318793,True
0,1910,0.7507547993019198,0.740372425093573,0.7615011686061609,9.755623771781136e-30,2.9657096266214653e-28,True
1,683,0.748298240721374,0.7297870048946505,0.7656104867499354,8.932722786944538e-11,1.1314782196796415e-09,True
2,267,0.7515127194902476,0.7269012899772703,0.7758251852824463,1.851463022514323e-05,0.00011256895176887083,True
3,37,0.6592664092664093,0.5835486239950525,0.7358839091192031,0.18463403785340882,0.3118263750413127,False
4,451,0.5608673846478724,0.5364793307231623,0.5848428863682377,4.0215623589298075e-42,3.0563873927866538e-40,True
5,290,0.7892651888341543,0.7633332015463011,0.8142188576749623,1.310443702197354e-15,2.489843034174973e-14,True
6,405,0.5808877131099354,0.5528630396259255,0.6073034945018202,1.8540292927741464e-30,7.045311312541756e-29,True
7,158,0.7248643761301989,0.6873309994861254,0.7605818025176577,0.14652529508164763,0.2559982166943729,False
8,168,0.7126275510204082,0.6740541177031725,0.7513415178571429,0.3171839756327328,0.43434202068626476,False
9,149,0.7560402684563758,0.7156294979416413,0.7923055165889147,0.00023829194821536475,0.0009287275930444985,True
10,109,0.8390345128877238,0.8082763945578231,0.8682331998219849,2.568433009261318e-14,3.9040181740772035e-13,True
11,243,0.7539290613364686,0.7244073809523809,0.782550224392535,6.828780646500553e-06,4.718066628491291e-05,True
12,184,0.5794125258799171,0.5381636368804469,0.6214701552929124,7.933136338725836e-15,1.3398185816514747e-13,True
13,240,0.612609126984127,0.5779260244073029,0.6455198912961914,1.9482436273087118e-10,2.277946395007109e-09,True
14,74,0.6121621621621622,0.5504914521778862,0.6721926858203766,0.0005618052080980087,0.0019859160844394727,True
15,108,0.7342813051146385,0.690325324756377,0.7789299217138003,0.05185932320412864,0.11765100189593364,False
16,173,0.6434833470960638,0.6045222366403208,0.6813561778675084,0.0001754824353327819,0.0007845097108994955,True
17,71,0.7498993963782696,0.6955042138913106,0.8008929211469533,0.05809985073968171,0.1279880769917626,False
18,124,0.46522017409114186,0.41509744815800714,0.5157177509913324,1.3183863666248067e-34,6.679824257565688e-33,True
19,36,0.724404761904762,0.624700328407225,0.8093802083333332,0.4676909052230004,0.5924084799491338,False
20,100,0.6752380952380951,0.6244347681601377,0.7286985020585938,0.38074748426152016,0.5076633123486936,False
21,37,0.8635778635778637,0.8169287559985233,0.9079365079365079,1.2616962372556716e-07,1.2711772172197638e-06,True
22,64,0.6965587797619047,0.6414934098639455,0.7521954362993885,1.0,1.0,False
23,89,0.8110219368646334,0.7668386243386244,0.8553120094191522,1.3380812812839618e-07,1.2711772172197638e-06,True
24,83,0.7840791738382099,0.7282552781052406,0.8385895392639814,0.0001882025405248551,0.0007946329488827216,True
25,7,0.3519480519480519,0.17455357142857142,0.5600757575757576,1.227259398062001e-06,9.32717142527121e-06,True
26,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,False
27,35,0.6619727891156463,0.582484243697479,0.7422080813172042,0.28560802782992045,0.40572355355278417,False
28,112,0.7169111394557824,0.6728285174132546,0.7583726622576873,0.41357319175948043,0.5372916679268464,False
29,10,0.720952380952381,0.5305936920222634,0.8848701298701298,1.0,1.0,False
30,100,0.7312142857142857,0.6846934773909564,0.7744552304306979,0.10244353927984647,0.199633563724829,False
31,43,0.7937984496124031,0.729156454248366,0.852724177666038,0.002515659780499846,0.008135750779488863,True
32,89,0.8091760299625468,0.7643716931216931,0.8530417489576475,2.0385923360605842e-07,1.7451696215990912e-06,True
33,107,0.3031375166889186,0.2600601788562315,0.3465220642452785,1.3624787371108207e-79,2.0709676804084473e-77,True
34,81,0.664373897707231,0.6096034032610774,0.7229186246867167,0.11904496366300671,0.22339301823181504,False
35,52,0.7747100122100121,0.7185798813573048,0.8297379692617788,0.007132340700440658,0.020076218267907037,True
36,11,0.7272727272727272,0.6222222222222222,0.8272960372960372,0.6809544906745417,0.8150006502561444,False
37,39,0.5652930402930403,0.48059358465608465,0.6453075396825396,3.178958911846635e-05,0.00017896361281506982,True
38,20,0.85,0.7407004830917874,0.9428571428571428,0.0009062083747490822,0.0030609705102635667,True
39,49,0.8139455782312925,0.7585361336946702,0.867305384417918,5.243397876846459e-05,0.0002846415990288078,True
40,7,0.7904761904761904,0.6133333333333334,0.9333333333333332,0.22383852152833528,0.3533140849030353,False
41,50,0.8436984126984127,0.7902897505391386,0.8902829034391534,2.0666482361041869e-07,1.7451696215990912e-06,True
42,37,0.5887387387387388,0.4829138437217706,0.6844184851359898,0.0027796577553968567,0.008802249558756713,True
43,47,0.8072948328267477,0.7444906508799173,0.862639811738649,0.00013348617992906952,0.0006340593546630802,True
44,61,0.7371975019516004,0.6789536742116201,0.7915154787073393,0.24557693243682643,0.37327693730397615,False
45,16,0.825,0.7147875816993464,0.9233452380952382,0.016327103080561272,0.043538941548163394,True
46,41,0.8495934959349593,0.7958263888888889,0.8983353174603176,9.667937827709094e-07,7.734350262167275e-06,True
47,13,0.6282051282051282,0.4332738095238095,0.7999999999999999,0.2942991348080616,0.41419878232245705,False
48,24,0.8722222222222222,0.8025617283950618,0.9333333333333333,1.7717404200767627e-05,0.00011221022660486165,True
49,62,0.8813364055299538,0.8459510582010582,0.9151328957780571,1.2161364970418777e-13,1.6804795231851401e-12,True
50,37,0.6762548262548262,0.5896455564784052,0.7616172729961549,0.4322666314618503,0.5568180337474682,False
51,55,0.6853640299094844,0.6182917159810634,0.7505088817896304,0.40250537579262596,0.5274208372455098,False
52,32,0.7622023809523809,0.6807068452380952,0.8353022408963584,0.07747104468186417,0.16169896495515187,False
53,45,0.6600481000481,0.5845347156061442,0.7322376314162029,0.19691002326273263,0.3253296036514713,False
54,33,0.7038239538239539,0.6333214285714287,0.7719126984126984,0.8046594429072333,0.9110089097199308,False
55,25,0.6859999999999999,0.5788392857142858,0.7846153846153846,0.7694592694141036,0.8793820221875469,False
56,17,0.7470588235294118,0.6166666666666667,0.87,0.34249303444783286,0.4648119753220589,False
57,42,0.7556689342403627,0.6788293650793651,0.8327981371465414,0.07766400436868406,0.16169896495515187,False
58,27,0.6276895943562609,0.5280751073639004,0.7215968614718614,0.10004204542576665,0.19748559616514977,False
59,44,0.8122835497835497,0.7546869791666667,0.8649420599725477,8.529543135795786e-05,0.0004321635188803198,True
60,45,0.765132275132275,0.70030955910032,0.8258184984520124,0.03743715173400673,0.088913235368266,False
61,28,0.5406462585034013,0.4391563802940531,0.6447132936507932,3.137752725825929e-05,0.00017896361281506982,True
62,19,0.6307017543859649,0.5222115384615384,0.7340918109668109,0.11708171440698002,0.22245525737326205,False
63,38,0.7001670843776108,0.6086920634920634,0.7815757499002179,0.7578600435099625,0.8793490581184298,False
64,28,0.7880952380952382,0.6969648093841643,0.8727954545454544,0.023314790552938485,0.05946188710796954,False
65,27,0.7365079365079364,0.6409436090225564,0.8230898268398268,0.46305983634575654,0.5914713876013025,False
66,34,0.8245098039215686,0.7468402055902056,0.8984880050505051,8.383765027748831e-05,0.0004321635188803198,True
67,27,0.8888007054673722,0.8358303571428572,0.935802553927554,1.2008214349595623e-07,1.2711772172197638e-06,True
68,30,0.5572619047619047,0.43177274114774117,0.6794062629399586,0.00010140994710790015,0.0004972358696903492,True
69,49,0.44936831875607386,0.380790820835227,0.5207730700976041,7.511198612825062e-17,1.6310031273562994e-15,True
70,43,0.711295681063123,0.6472209821428573,0.7739058546123763,0.7675230462540554,0.8793820221875469,False
71,43,0.6550387596899224,0.582244623655914,0.7219516814486326,0.09234393552249115,0.1846878710449823,False
72,22,0.8742424242424243,0.7999305555555554,0.9406068840579708,9.087635994409985e-06,6.005742048479642e-05,True
73,3,0.5444444444444444,0.2,0.8333333333333334,0.2763903434566325,0.39633332269252963,False
74,10,0.93,0.8,1.0,0.00018556888554025348,0.0007946329488827216,True
75,14,0.6404761904761906,0.5435833333333333,0.747626488095238,0.30988658800147223,0.42820692160203433,False
76,23,0.7636645962732921,0.6909468747626643,0.8376083200425305,0.13340160653910849,0.2413933832612439,False
77,25,0.6836666666666668,0.5822334866220735,0.7794216628959275,0.9230459639357373,0.9811397658617628,False
78,1,0.0,0.0,0.0,0.0002283773869131415,0.0009287275930444985,True
79,24,0.6375000000000001,0.5341647727272727,0.7358402777777777,0.13087302931563582,0.23967108983104393,False
80,38,0.5327694235588972,0.4428396358543418,0.6187952019964214,3.6202442905744196e-06,2.620367296034818e-05,True
81,25,0.7465714285714286,0.6604709821428572,0.8331535714285714,0.258748298765375,0.3806760013240702,False
82,22,0.7015151515151516,0.6014130434782609,0.8021006944444443,1.0,1.0,False
83,24,0.68125,0.563324074074074,0.7975029761904762,0.5542243313822173,0.6905090030335821,False
84,16,0.578125,0.46051315789473685,0.69778125,0.028542019682185345,0.07112109822446183,False
85,24,0.2881944444444444,0.19561004784688993,0.38183621933621925,1.896869234799467e-21,4.805402061491983e-20,True
86,7,0.8047619047619048,0.6777777777777777,0.9238095238095239,0.1542927252052783,0.26650561626366254,False
