model,slice,n,n_remove,accuracy,precision,recall,f1,invalid_rate
unanimous_model,all_posts,20000,4804,0.8021,0.5810966257668712,0.630932556203164,0.6049900199600798,0.0
unanimous_model,train,15999,3843,0.8001125070316895,0.5770241222832577,0.6286755139214155,0.6017434620174347,0.0
unanimous_model,test,4001,961,0.810047488127968,0.597667638483965,0.6399583766909469,0.6180904522613065,0.0
unanimous_model,unanimous_posts,5715,435,0.9583552055993001,0.6494688922610015,0.9839080459770115,0.7824497257769653,0.0
modal_model,all_posts,20000,4804,0.79025,0.5435560005721642,0.791007493755204,0.6443408223823655,0.0
modal_model,train,15999,3843,0.7941121320082505,0.5492200107584723,0.7970335675253708,0.6503184713375796,0.0
modal_model,test,4001,961,0.7748062984253936,0.5212164073550212,0.7669094693028096,0.6206315789473684,0.0
modal_model,unanimous_posts,5715,435,0.926334208223972,0.508557457212714,0.9563218390804598,0.6640063846767758,0.0
