cluster_id,n_train,n_error_train,error_rate_train,lift_train,n_test,n_error_test,error_rate_test,lift_test,abs_delta_rate,flags
0,464,144,0.3103448275862069,0.8655588132329775,119,33,0.2773109243697479,0.7734265025807278,0.03303390321645899,none
1,1167,435,0.37275064267352187,1.0396100570250415,267,107,0.40074906367041196,1.117698292743208,0.027998420996890094,none
2,782,252,0.32225063938618925,0.8987643943032962,196,74,0.37755102040816324,1.052998420180255,0.05530038102197399,none
3,1193,484,0.4056999161777033,1.1315063334765831,306,123,0.4019607843137255,1.1210778092963074,0.003739131863977785,none
4,1075,387,0.36,1.004048223350254,253,92,0.36363636363636365,1.014190124596216,0.0036363636363636598,none
5,699,267,0.38197424892703863,1.0653349055576131,166,52,0.3132530120481928,0.8736698061280657,0.06872123687884585,none
6,1652,552,0.3341404358353511,0.9319253081943437,452,150,0.33185840707964603,0.9255606778671219,0.0022820287557050456,none
